,Genome,time_create,mother,age
23,Left Up Foto Foto Up Chemo Chemo Eat Eat Right Left Right Down Up Left Foto Right Left Eat Chemo Chemo Foto Eat Chemo Right,0,-1,21
24,Down Left Chemo Down Chemo Eat Right Right Up Chemo Eat Down Down Up Down Right Up Down Left Down Foto Left Up Chemo Chemo,0,-1,9
25,Eat Foto Foto Eat Right Up Up Down Up Right Chemo Down Eat Eat Left Down Down Up Left Down Up Down Up Down Chemo,0,-1,1
26,Down Left Down Eat Chemo Foto Right Foto Foto Left Eat Up Eat Left Eat Chemo Down Eat Left Eat Down Chemo Eat Left Right,0,-1,10
27,Down Down Up Left Foto Foto Chemo Left Left Chemo Right Down Left Chemo Left Chemo Down Chemo Up Foto Foto Eat Left Down Down,0,-1,18
28,Down Down Down Up Right Eat Foto Chemo Up Chemo Down Eat Left Up Up Left Down Up Chemo Right Chemo Foto Up Eat Left,0,-1,29
29,Foto Right Left Chemo Right Chemo Eat Right Chemo Right Foto Foto Eat Chemo Left Foto Eat Foto Foto Foto Foto Up Chemo Chemo Up,0,-1,22
30,Left Eat Eat Up Down Right Foto Left Chemo Eat Right Up Up Down Up Left Down Down Chemo Chemo Right Right Left Chemo Chemo,0,-1,8
31,Left Foto Eat Up Down Chemo Up Left Left Eat Eat Eat Foto Up Eat Foto Up Up Chemo Left Down Foto Up Eat Left,0,-1,8
32,Eat Right Foto Foto Left Down Left Down Chemo Foto Left Foto Right Down Chemo Down Up Left Eat Left Chemo Left Chemo Chemo Up,0,-1,3
33,Eat Foto Chemo Chemo Down Chemo Foto Up Left Down Right Right Up Right Up Down Right Foto Chemo Right Foto Chemo Eat Foto Down,0,-1,18
34,Down Left Left Eat Left Eat Chemo Down Down Eat Up Eat Right Right Up Right Up Foto Left Foto Left Right Chemo Up Foto,0,-1,2
35,Right Eat Chemo Down Down Foto Up Eat Left Left Up Chemo Down Up Down Eat Foto Right Foto Eat Foto Chemo Up Right Up,0,-1,1
36,Down Left Up Foto Chemo Chemo Right Left Down Eat Chemo Eat Down Down Left Chemo Foto Up Right Chemo Up Eat Chemo Down Up,0,-1,4
37,Right Chemo Down Foto Down Eat Foto Foto Right Chemo Eat Up Left Right Eat Right Left Right Eat Left Chemo Down Eat Foto Eat,0,-1,7
38,Eat Right Up Chemo Left Right Eat Up Eat Down Chemo Foto Up Up Down Down Chemo Eat Right Eat Up Up Down Up Down,0,-1,13
39,Down Left Left Up Eat Down Down Down Down Left Up Right Up Eat Down Foto Left Left Foto Left Right Up Left Left Up,0,-1,5
40,Down Left Foto Left Down Chemo Foto Eat Foto Foto Down Chemo Chemo Eat Right Down Left Chemo Eat Foto Down Up Chemo Chemo Foto,0,-1,43
41,Eat Right Up Down Chemo Down Down Foto Foto Right Left Up Right Up Left Down Foto Foto Foto Foto Chemo Left Right Up Left,0,-1,51
42,Eat Right Foto Right Left Eat Down Foto Up Chemo Right Foto Left Up Left Foto Right Up Down Right Down Left Chemo Chemo Right,0,-1,21
43,Down Up Left Up Eat Eat Right Eat Right Up Foto Left Eat Foto Foto Chemo Right Eat Eat Right Eat Chemo Foto Up Eat,0,-1,51
44,Foto Left Chemo Eat Chemo Left Down Down Down Left Right Chemo Right Up Down Eat Left Right Chemo Left Right Foto Right Right Up,0,-1,4
45,Right Up Up Chemo Right Up Right Left Up Eat Right Down Chemo Chemo Up Eat Foto Foto Eat Up Right Foto Right Down Right,0,-1,29
46,Down Left Eat Chemo Left Left Down Chemo Left Foto Left Down Down Eat Chemo Up Right Left Down Chemo Foto Chemo Down Chemo Right,0,-1,11
47,Eat Right Eat Eat Down Foto Left Eat Eat Right Down Down Eat Left Down Chemo Up Down Chemo Foto Right Left Foto Eat Down,0,-1,51
48,Down Eat Chemo Chemo Right Eat Left Chemo Eat Right Eat Down Down Eat Right Left Eat Eat Eat Right Down Left Foto Right Chemo,0,-1,2
49,Chemo Eat Left Up Foto Foto Left Down Up Chemo Down Down Right Right Left Up Eat Right Right Up Right Chemo Eat Chemo Up,0,-1,6
50,Eat Chemo Down Down Right Eat Left Left Eat Down Right Eat Up Foto Up Left Left Down Left Right Right Chemo Left Down Chemo,0,-1,22
51,Chemo Up Eat Foto Right Up Foto Foto Left Chemo Chemo Chemo Left Chemo Chemo Eat Right Right Chemo Left Down Down Chemo Foto Up,0,-1,24
52,Left Foto Eat Left Foto Left Chemo Chemo Chemo Chemo Up Foto Foto Down Left Chemo Up Down Up Foto Foto Right Foto Chemo Eat,0,-1,28
53,Left Right Foto Foto Chemo Eat Foto Down Left Foto Up Right Right Foto Left Left Right Left Left Chemo Down Up Left Left Left,0,-1,1
54,Eat Chemo Right Left Eat Down Left Left Left Left Right Right Right Left Chemo Right Eat Right Up Eat Up Down Up Chemo Foto,0,-1,1
55,Up Foto Chemo Down Up Up Chemo Foto Eat Foto Up Up Eat Foto Right Foto Down Chemo Left Up Foto Foto Right Foto Eat,0,-1,3
56,Up Left Up Foto Chemo Down Down Foto Up Chemo Up Chemo Left Eat Up Left Up Foto Left Down Eat Left Down Up Right,0,-1,39
57,Up Right Left Eat Right Chemo Down Right Chemo Up Up Left Up Right Up Chemo Down Foto Right Left Chemo Foto Right Chemo Right,0,-1,3
58,Up Down Up Right Right Right Down Eat Chemo Eat Foto Left Eat Right Up Down Right Up Up Left Left Eat Up Right Chemo,0,-1,6
59,Right Right Up Right Left Right Eat Left Foto Left Right Foto Eat Left Chemo Left Eat Up Right Chemo Down Left Left Chemo Eat,0,-1,3
60,Right Right Chemo Eat Eat Chemo Eat Down Right Left Down Chemo Right Right Foto Down Foto Chemo Foto Up Foto Chemo Up Up Left,0,-1,30
61,Down Eat Eat Down Up Left Right Eat Up Up Up Right Foto Foto Left Chemo Down Up Up Chemo Down Foto Foto Foto Left,0,-1,8
62,Chemo Foto Foto Foto Down Up Left Eat Right Chemo Chemo Up Chemo Right Chemo Chemo Down Chemo Foto Up Right Up Up Down Up,0,-1,5
63,Up Left Left Right Left Foto Down Foto Left Right Eat Chemo Up Down Up Eat Foto Chemo Eat Down Left Eat Chemo Left Foto,0,-1,10
64,Left Chemo Down Up Down Foto Foto Left Left Left Foto Down Chemo Chemo Right Right Eat Left Right Left Eat Foto Eat Right Down,0,-1,1
65,Eat Chemo Up Down Up Right Down Up Right Foto Up Left Down Right Up Right Down Left Eat Left Eat Eat Up Eat Up,0,-1,4
66,Chemo Eat Eat Chemo Eat Eat Eat Foto Eat Right Foto Eat Right Chemo Left Right Down Eat Eat Right Eat Down Eat Up Foto,0,-1,5
67,Right Eat Up Down Down Up Eat Eat Up Left Down Eat Eat Eat Right Left Down Chemo Eat Right Left Up Down Chemo Right,0,-1,10
68,Right Foto Foto Left Up Up Right Up Left Right Chemo Chemo Right Right Left Eat Up Right Up Left Right Left Down Down Eat,0,-1,3
69,Right Eat Right Right Right Foto Down Eat Chemo Left Chemo Eat Chemo Foto Up Down Foto Left Left Right Eat Down Eat Foto Left,0,-1,32
70,Left Eat Foto Down Chemo Up Down Left Right Up Chemo Left Right Eat Chemo Left Up Right Foto Up Up Eat Left Chemo Eat,0,-1,2
71,Left Down Chemo Up Left Foto Right Chemo Down Foto Left Chemo Chemo Eat Foto Up Right Chemo Up Eat Right Eat Chemo Eat Eat,0,-1,9
72,Down Foto Down Up Up Foto Foto Right Right Right Up Down Up Left Chemo Up Left Eat Eat Foto Eat Down Up Foto Eat,0,-1,51
73,Left Foto Foto Right Foto Up Left Chemo Chemo Left Right Up Eat Down Chemo Down Left Up Down Left Up Foto Chemo Eat Up,0,-1,12
74,Chemo Up Right Chemo Left Right Foto Left Left Foto Up Down Eat Down Eat Right Chemo Chemo Foto Chemo Foto Down Foto Foto Down,0,-1,4
75,Down Eat Up Foto Down Up Foto Chemo Left Down Down Foto Foto Foto Down Right Foto Eat Eat Right Eat Down Foto Chemo Right,0,-1,5
76,Eat Down Eat Down Eat Up Eat Right Eat Chemo Chemo Left Eat Right Chemo Foto Foto Foto Up Left Eat Left Right Eat Right,0,-1,45
77,Eat Right Chemo Down Foto Eat Left Up Eat Foto Chemo Eat Down Right Eat Down Eat Up Down Chemo Left Chemo Up Chemo Up,0,-1,51
78,Down Chemo Foto Up Down Up Eat Chemo Foto Up Foto Up Foto Left Down Down Down Foto Left Left Eat Down Down Left Up,0,-1,51
79,Foto Foto Left Left Right Up Up Down Chemo Eat Right Left Down Up Right Foto Chemo Eat Down Up Foto Right Eat Foto Up,0,-1,1
80,Eat Eat Up Up Chemo Foto Chemo Foto Eat Eat Up Up Down Right Down Eat Eat Chemo Down Left Chemo Up Down Eat Eat,0,-1,51
81,Down Foto Up Chemo Down Up Foto Right Chemo Chemo Up Left Left Left Down Chemo Foto Left Chemo Up Foto Up Up Eat Down,0,-1,17
82,Left Down Down Up Eat Chemo Left Down Eat Foto Down Eat Left Up Eat Down Eat Right Left Foto Left Down Foto Foto Up,0,-1,8
83,Eat Down Foto Chemo Up Right Down Right Left Down Foto Left Eat Up Up Right Chemo Right Right Eat Chemo Up Right Left Down,0,-1,16
84,Chemo Chemo Down Right Chemo Eat Eat Eat Left Right Right Up Eat Eat Down Down Foto Chemo Left Foto Up Foto Right Eat Right,0,-1,51
85,Left Up Down Chemo Chemo Up Left Foto Right Left Foto Down Chemo Eat Right Foto Right Down Up Up Up Foto Chemo Up Down,0,-1,3
86,Up Down Chemo Foto Up Right Left Right Chemo Down Eat Chemo Up Eat Chemo Eat Left Chemo Foto Foto Foto Foto Right Chemo Left,0,-1,5
87,Up Chemo Up Up Chemo Chemo Eat Chemo Down Up Right Eat Left Eat Left Down Up Foto Down Foto Right Up Right Foto Left,0,-1,1
88,Left Left Right Left Up Right Left Right Chemo Right Left Up Eat Left Foto Down Left Up Down Eat Foto Chemo Down Right Foto,0,-1,1
89,Left Right Right Up Up Left Down Left Foto Chemo Left Right Eat Up Right Eat Left Eat Down Eat Eat Foto Eat Right Right,0,-1,4
90,Chemo Down Right Chemo Up Down Up Up Left Right Chemo Foto Left Right Left Left Up Right Chemo Foto Foto Foto Right Left Right,0,-1,24
91,Left Up Eat Down Left Down Chemo Chemo Foto Eat Down Down Chemo Chemo Right Down Eat Down Foto Left Chemo Right Up Foto Up,0,-1,13
92,Eat Up Right Up Foto Chemo Chemo Left Right Left Foto Left Left Foto Right Left Right Up Down Eat Eat Eat Foto Up Left,0,-1,9
93,Right Chemo Right Down Foto Left Down Foto Left Down Foto Right Foto Up Right Foto Right Down Right Up Eat Down Eat Chemo Left,0,-1,23
94,Chemo Eat Left Left Eat Right Left Up Chemo Up Up Down Chemo Chemo Down Foto Chemo Chemo Chemo Foto Eat Left Foto Up Left,0,-1,25
95,Chemo Foto Down Left Down Left Eat Foto Chemo Up Chemo Left Eat Down Right Left Down Left Chemo Foto Chemo Left Down Eat Eat,0,-1,2
96,Chemo Up Right Foto Foto Eat Foto Up Left Foto Right Foto Eat Eat Eat Up Down Foto Eat Eat Foto Right Left Down Right,0,-1,51
97,Eat Eat Right Chemo Left Foto Left Left Up Left Foto Chemo Down Eat Down Chemo Left Left Foto Down Up Right Up Foto Up,0,-1,9
98,Up Foto Left Up Down Down Down Up Right Down Up Foto Down Chemo Left Foto Right Foto Eat Foto Eat Eat Eat Chemo Right,0,-1,51
99,Right Chemo Down Right Eat Up Left Down Chemo Foto Down Eat Foto Eat Foto Left Left Down Down Up Down Foto Eat Left Up,0,-1,51
100,Right Right Left Down Left Chemo Right Foto Left Foto Left Foto Left Down Down Right Foto Foto Down Chemo Down Right Up Right Left,0,-1,14
101,Eat Left Foto Up Down Down Foto Eat Down Right Up Left Eat Up Eat Foto Down Left Up Foto Right Eat Down Foto Chemo,0,-1,51
102,Eat Left Foto Chemo Left Right Up Up Right Chemo Foto Up Left Right Left Up Right Chemo Right Left Left Left Left Chemo Up,0,-1,8
103,Up Eat Up Eat Right Right Up Down Chemo Foto Chemo Down Eat Down Foto Right Down Down Eat Up Chemo Down Foto Eat Up,0,-1,13
104,Eat Chemo Down Down Up Left Down Foto Foto Chemo Up Left Eat Chemo Chemo Eat Chemo Eat Foto Eat Left Up Chemo Eat Chemo,0,-1,1
105,Down Right Eat Left Chemo Chemo Chemo Right Left Up Left Down Up Chemo Up Eat Left Right Foto Chemo Foto Foto Foto Right Left,0,-1,2
106,Left Left Foto Eat Left Chemo Down Left Chemo Up Foto Right Left Chemo Left Up Eat Chemo Up Down Eat Left Down Foto Chemo,0,-1,51
107,Right Down Eat Up Left Up Up Down Eat Left Chemo Down Right Foto Left Up Down Chemo Left Eat Eat Down Foto Right Left,0,-1,4
108,Left Left Right Foto Chemo Foto Chemo Foto Down Up Eat Eat Foto Chemo Right Eat Eat Right Down Chemo Right Eat Foto Left Eat,0,-1,9
109,Chemo Eat Foto Down Foto Down Up Down Up Foto Eat Down Right Eat Up Eat Down Foto Chemo Foto Up Right Right Chemo Foto,0,-1,25
110,Eat Right Right Down Left Foto Eat Left Foto Down Eat Right Eat Left Eat Left Foto Foto Foto Chemo Up Chemo Eat Left Chemo,0,-1,1
111,Right Eat Up Left Foto Up Down Eat Foto Left Down Left Down Right Foto Foto Right Down Down Eat Up Chemo Down Right Up,0,-1,20
112,Foto Down Right Up Right Up Eat Right Right Eat Right Right Right Chemo Foto Down Right Up Up Down Left Right Right Foto Left,0,-1,1
113,Down Foto Up Foto Down Foto Left Right Eat Left Chemo Right Down Left Down Chemo Right Chemo Up Foto Left Left Up Left Chemo,0,-1,16
114,Foto Up Up Left Up Eat Down Down Right Chemo Down Eat Down Foto Chemo Foto Foto Eat Left Left Foto Foto Right Foto Down,0,-1,8
115,Foto Foto Down Down Foto Eat Right Left Foto Up Down Down Right Right Down Right Eat Up Eat Up Up Left Right Down Up,0,-1,13
116,Right Down Right Left Down Chemo Chemo Eat Right Eat Chemo Chemo Down Right Down Right Chemo Chemo Left Foto Eat Foto Right Left Right,0,-1,2
117,Down Left Foto Foto Foto Up Right Down Right Chemo Down Eat Chemo Foto Chemo Chemo Right Foto Down Eat Left Left Down Down Eat,0,-1,10
118,Right Foto Up Down Foto Chemo Foto Chemo Chemo Right Right Up Foto Eat Down Right Right Eat Down Right Eat Left Chemo Foto Chemo,0,-1,3
119,Chemo Eat Up Right Right Chemo Foto Left Up Up Eat Up Down Eat Right Left Chemo Foto Chemo Up Right Left Left Eat Left,0,-1,51
120,Eat Down Foto Right Left Eat Foto Eat Up Up Foto Right Foto Chemo Left Foto Up Eat Eat Foto Chemo Chemo Right Foto Chemo,0,-1,28
121,Up Up Left Foto Right Down Foto Eat Down Left Eat Left Chemo Right Left Eat Eat Foto Up Chemo Down Up Left Down Foto,0,-1,15
122,Up Chemo Up Up Right Foto Right Foto Left Right Eat Chemo Chemo Down Eat Down Eat Eat Foto Chemo Up Foto Eat Up Left,0,-1,45
123,Eat Right Down Foto Left Right Eat Down Foto Right Down Chemo Up Eat Eat Left Right Up Left Eat Chemo Eat Down Up Foto,0,-1,3
124,Eat Chemo Left Right Left Foto Foto Foto Up Left Down Down Left Up Eat Up Foto Eat Left Foto Up Eat Left Left Up,0,-1,13
125,Down Eat Right Right Eat Chemo Foto Up Eat Up Up Chemo Left Down Down Left Up Eat Right Eat Up Down Up Chemo Foto,0,-1,3
126,Foto Down Up Up Eat Up Up Right Right Up Up Left Up Eat Right Down Left Chemo Down Eat Right Foto Right Up Foto,0,-1,1
127,Right Down Chemo Down Down Foto Foto Left Foto Left Up Up Chemo Eat Chemo Up Up Foto Up Chemo Eat Down Right Eat Eat,0,-1,2
128,Right Chemo Chemo Down Down Left Right Up Up Chemo Eat Foto Eat Foto Right Chemo Foto Left Up Right Right Eat Up Down Left,0,-1,8
129,Foto Up Left Right Right Down Up Chemo Up Left Right Foto Down Down Chemo Up Eat Left Down Down Right Up Up Right Left,0,-1,5
130,Left Down Left Chemo Up Down Left Foto Foto Down Eat Up Left Down Up Eat Right Left Down Left Chemo Down Left Eat Up,0,-1,1
131,Right Foto Eat Right Foto Eat Left Right Right Left Right Eat Foto Right Left Up Right Chemo Left Eat Eat Chemo Up Left Foto,0,-1,27
132,Left Eat Eat Up Left Foto Down Chemo Foto Chemo Left Eat Foto Left Down Foto Right Left Down Chemo Left Eat Right Chemo Right,0,-1,38
133,Eat Chemo Down Down Eat Chemo Foto Left Up Right Up Foto Eat Down Right Right Right Chemo Right Foto Foto Eat Chemo Foto Chemo,0,-1,1
134,Right Eat Eat Chemo Up Down Left Left Eat Chemo Chemo Eat Right Left Up Eat Right Chemo Down Down Foto Eat Eat Up Down,0,-1,31
135,Down Up Up Eat Eat Eat Right Down Up Chemo Right Right Left Down Right Foto Foto Down Foto Down Right Chemo Eat Down Eat,0,-1,3
136,Left Eat Left Left Foto Foto Chemo Eat Up Eat Eat Left Eat Chemo Down Down Eat Up Down Up Down Chemo Up Right Eat,0,-1,8
137,Eat Up Up Left Eat Chemo Down Right Eat Left Up Left Right Down Chemo Up Chemo Down Left Foto Chemo Left Up Down Left,0,-1,6
138,Foto Right Right Up Right Foto Chemo Chemo Right Chemo Chemo Up Right Eat Right Down Up Right Up Left Left Eat Down Right Foto,0,-1,5
139,Up Right Left Left Eat Foto Up Left Down Eat Foto Eat Right Up Eat Chemo Eat Down Up Left Foto Up Right Foto Chemo,0,-1,8
140,Up Foto Eat Down Down Foto Up Right Up Eat Eat Foto Eat Right Right Right Left Foto Down Right Left Right Chemo Right Up,0,-1,5
141,Up Chemo Foto Eat Foto Right Up Eat Chemo Foto Up Chemo Foto Down Up Right Down Chemo Up Foto Right Left Foto Up Left,0,-1,38
142,Foto Chemo Down Down Down Down Left Right Eat Eat Right Down Left Up Eat Eat Left Eat Foto Chemo Left Up Right Chemo Foto,0,-1,22
143,Right Left Down Right Chemo Up Right Up Chemo Up Chemo Up Chemo Up Down Foto Down Eat Up Down Left Foto Foto Right Eat,0,-1,2
144,Eat Down Foto Down Down Chemo Right Up Eat Foto Down Left Eat Left Right Chemo Right Up Up Eat Up Right Down Chemo Left,0,-1,11
145,Foto Chemo Foto Chemo Left Down Eat Left Eat Down Down Up Left Down Left Right Down Chemo Chemo Up Right Right Chemo Chemo Up,0,-1,28
146,Foto Chemo Eat Foto Down Eat Eat Chemo Chemo Right Down Down Right Foto Foto Right Foto Left Eat Right Left Foto Chemo Right Foto,0,-1,6
147,Chemo Down Down Chemo Chemo Right Left Foto Right Left Up Foto Down Eat Chemo Eat Down Chemo Chemo Down Eat Foto Left Down Up,0,-1,51
148,Down Chemo Down Chemo Chemo Right Foto Chemo Eat Eat Up Right Up Up Chemo Down Up Left Down Up Chemo Right Chemo Up Right,0,-1,4
149,Eat Foto Chemo Foto Right Eat Down Right Up Chemo Right Eat Right Chemo Chemo Up Foto Left Left Foto Down Down Chemo Left Left,0,-1,2
150,Down Right Left Right Down Eat Up Eat Left Chemo Eat Up Foto Right Left Chemo Right Eat Right Foto Eat Eat Left Up Down,0,-1,5
151,Chemo Up Eat Foto Down Foto Left Chemo Right Eat Chemo Down Down Chemo Chemo Up Left Chemo Up Eat Left Up Left Foto Eat,0,-1,2
152,Left Chemo Left Eat Left Foto Right Eat Foto Chemo Right Right Eat Eat Foto Left Left Eat Left Chemo Down Foto Right Up Right,0,-1,16
153,Eat Foto Left Up Down Right Eat Chemo Right Right Right Foto Right Up Down Chemo Left Up Right Eat Right Down Eat Eat Up,0,-1,6
154,Up Eat Chemo Up Chemo Down Right Down Up Foto Down Foto Eat Left Up Left Down Eat Down Right Right Right Chemo Up Eat,0,-1,5
155,Right Left Foto Up Down Down Chemo Down Down Right Eat Right Chemo Up Left Right Chemo Left Foto Up Left Down Down Eat Chemo,0,-1,5
156,Up Eat Up Chemo Foto Up Down Up Down Right Foto Up Right Eat Up Up Chemo Right Left Foto Down Up Left Up Eat,0,-1,3
157,Down Down Down Left Chemo Chemo Chemo Foto Chemo Left Eat Eat Chemo Up Right Eat Up Down Down Left Eat Up Right Right Eat,0,-1,12
158,Up Up Up Foto Up Eat Right Foto Left Right Eat Left Down Right Eat Chemo Down Right Up Right Up Eat Up Right Chemo,0,-1,17
159,Chemo Eat Left Eat Right Chemo Down Up Right Chemo Right Right Down Left Up Foto Chemo Left Foto Chemo Up Foto Left Left Left,0,-1,22
160,Down Eat Right Chemo Chemo Down Eat Chemo Right Foto Down Foto Eat Foto Down Right Eat Right Eat Left Right Up Left Right Eat,0,-1,16
161,Right Left Chemo Eat Eat Left Up Chemo Left Up Eat Eat Down Chemo Foto Right Down Foto Up Down Eat Eat Down Chemo Foto,0,-1,4
162,Foto Left Up Left Left Chemo Up Chemo Up Up Chemo Left Down Eat Left Chemo Down Foto Down Foto Chemo Foto Right Right Foto,0,-1,13
163,Up Chemo Up Eat Eat Chemo Eat Eat Right Left Chemo Up Chemo Right Down Right Left Left Left Down Chemo Up Chemo Down Eat,0,-1,5
164,Right Right Up Down Foto Chemo Left Right Eat Eat Left Left Up Up Down Foto Chemo Up Foto Right Up Down Right Foto Eat,0,-1,10
165,Up Chemo Eat Left Up Down Foto Up Eat Left Left Chemo Eat Left Down Up Foto Down Eat Eat Left Left Down Foto Chemo,0,-1,51
166,Left Up Up Right Up Down Eat Left Left Left Chemo Up Eat Chemo Down Chemo Left Down Chemo Foto Right Up Left Left Down,0,-1,10
167,Chemo Left Down Up Eat Left Right Eat Chemo Left Right Right Up Down Chemo Left Up Foto Chemo Eat Up Chemo Down Right Up,0,-1,2
168,Chemo Up Up Left Up Eat Down Right Up Right Right Up Down Right Chemo Eat Down Left Down Down Chemo Down Right Down Down,0,-1,19
169,Foto Right Left Down Left Foto Right Down Down Up Right Up Chemo Up Down Eat Chemo Right Chemo Eat Up Right Chemo Up Up,0,-1,4
170,Left Right Right Up Chemo Down Right Down Chemo Up Eat Right Chemo Left Foto Up Left Down Chemo Chemo Foto Chemo Foto Down Left,0,-1,1
171,Right Right Right Down Down Left Down Right Right Down Chemo Up Right Eat Down Chemo Eat Chemo Chemo Chemo Down Chemo Chemo Up Up,0,-1,21
172,Chemo Left Chemo Chemo Eat Chemo Left Eat Right Down Up Left Up Right Foto Eat Eat Down Up Eat Eat Foto Up Foto Left,0,-1,2
173,Chemo Up Chemo Down Up Down Chemo Foto Down Foto Foto Eat Up Up Down Up Down Chemo Chemo Chemo Chemo Right Foto Foto Left,0,-1,6
174,Eat Down Up Eat Eat Right Up Up Down Left Down Up Left Down Up Eat Left Eat Left Up Foto Foto Up Left Left,0,-1,15
175,Left Eat Foto Chemo Up Foto Left Left Chemo Up Down Chemo Up Left Left Eat Down Down Left Chemo Down Chemo Down Down Down,0,-1,5
176,Right Foto Left Left Eat Chemo Foto Down Right Up Up Right Eat Up Down Chemo Chemo Right Right Up Right Foto Down Eat Eat,0,-1,9
177,Down Right Eat Chemo Up Up Left Down Up Chemo Eat Left Left Chemo Foto Foto Right Foto Chemo Right Up Foto Left Right Chemo,0,-1,5
178,Foto Down Chemo Right Down Chemo Eat Foto Foto Left Chemo Up Eat Down Eat Foto Left Foto Right Eat Chemo Right Foto Eat Chemo,0,-1,18
179,Left Left Up Right Eat Chemo Right Up Left Foto Eat Right Right Up Right Foto Eat Left Right Down Left Chemo Down Up Eat,0,-1,1
180,Eat Down Down Up Right Chemo Foto Up Left Down Chemo Down Down Right Eat Chemo Up Chemo Right Right Eat Right Left Right Right,0,-1,11
181,Up Left Left Right Up Up Left Down Right Left Chemo Eat Chemo Up Right Foto Right Up Foto Chemo Down Foto Down Up Up,0,-1,7
182,Chemo Down Up Left Up Left Foto Up Right Down Foto Foto Up Up Right Left Eat Up Foto Right Down Eat Chemo Chemo Left,0,-1,4
183,Left Down Down Eat Up Up Chemo Foto Chemo Chemo Up Left Eat Eat Up Up Chemo Up Down Up Down Down Right Foto Chemo,0,-1,51
184,Eat Eat Right Chemo Foto Foto Left Chemo Foto Up Right Right Eat Down Chemo Left Down Left Left Eat Eat Left Eat Eat Eat,0,-1,6
185,Eat Eat Right Eat Right Chemo Down Foto Left Foto Right Right Eat Chemo Left Foto Up Up Down Chemo Up Down Eat Left Down,0,-1,5
186,Left Chemo Down Eat Right Left Right Chemo Eat Down Left Up Up Down Chemo Chemo Foto Left Eat Eat Left Up Foto Foto Up,0,-1,10
187,Left Eat Eat Foto Up Right Up Left Down Eat Eat Up Right Down Chemo Left Eat Eat Eat Foto Eat Eat Eat Up Foto,0,-1,35
